id,course1
2c0a8cb6662b9a0a0a5d2d1214442767,Анализ неструктурированных данных
2c0a8cb6662b9a0a0a5d2d1214442767,Глубинное обучение в обработке звука
6256514074c4680d1b14e4f2a863fd78,Statistical Learning Theory
9c656049fc55775bb9215d12aabf5881,Язык SQL
338374a0f16d72f8c9066ca658c1ee04,Анализ неструктурированных данных
6f1c603284d031570af2e4be6c1afdcb,Принятие решений в условиях риска и неопределённости
d0d8ff53ed5b119f9056068e954256c6,Язык SQL
b75b5f8abebf7faf4adbb6247d6d03bb,Statistical Learning Theory
28cd79966197dc97bafed62bc8c48bbd,Моделирование временных рядов
ce2a9120d5581dcd8bd0d6252918c9ec,Statistical Learning Theory
ce2a9120d5581dcd8bd0d6252918c9ec,Моделирование временных рядов
59241a17fc6c01fa7d209ef20712d31c,Моделирование временных рядов
c7f617262a8d9350bcbba27f6d65d86a,Высокопроизводительные вычисления
674d6e333a907d65780e9618436f1952,Анализ неструктурированных данных
674d6e333a907d65780e9618436f1952,Байесовские методы машинного обучения
c7544f6c00a5164efdef675410d62e94,Язык SQL
cef24632489091cb8c085688b7d78dec,Глубинное обучение в обработке звука
813663487952e66e7c39d29b0931206d,Язык SQL
1341f488fae5f1ccf164960fd6506cd0,Язык SQL
ea9d7e5f21ee102565b1437b26eb1144,Язык SQL
e0a59b2b04663ea386d2cac7b876952e,Анализ неструктурированных данных
88ae08d9db8d34b267780ed642d0d2db,Statistical Learning Theory
93da3d13e0ae40a97367b0c16d497399,Принятие решений в условиях риска и неопределённости
ecc19831d7abd064f0488a9af2521920,Язык SQL
1528f0eaa027580820ccf0d92a53ad68,Statistical Learning Theory
7134f24c241836458335aa3abb8d8727,Анализ неструктурированных данных
f7f123322f77fd451a30ed4979c323fc,Язык SQL
c976c868dd660e792ab82ba8d9e02506,Высокопроизводительные вычисления
9750aa503b095b9297e1a778d6c7cc95,Теория баз данных
9750aa503b095b9297e1a778d6c7cc95,Язык SQL
73282cacef07625adb2f9b4e2d57240e,Матричные вычисления
50f6d5b6a7fd6c8b1b8959f9ce1f808d,Анализ неструктурированных данных
fe631bea98b075dd781e11df3987533b,Моделирование временных рядов
fe631bea98b075dd781e11df3987533b,Statistical Learning Theory
496ea4f0d4abe264b1bb1b80eb3830c5,Высокопроизводительные вычисления
881b1a6fda195b354ae2edb396a69f5d,Анализ неструктурированных данных
760529fb42ad1fd50071e2ceeadaaedc,Язык SQL
1f53f6dabcd59889dd7486a7cac5c9f2,Язык SQL
2e04f9bc8796f095ed7b9c7941df91a6,Анализ неструктурированных данных
8047c18b3c531c6f47931e0744f3e028,Язык SQL
5a66e3b77559d14dd20fc4df99671688,Язык SQL
d9c068e5578253c2b0721558dd0813e1,Анализ неструктурированных данных
3de75278c0cdb78bbe54267f65c67d25,Язык SQL
2ca6917be428f8b84f6f15cdcbea2143,Анализ неструктурированных данных
2ca6917be428f8b84f6f15cdcbea2143,Глубинное обучение в обработке звука
f8fab519d78047712c06798c8b7fe38f,Теория баз данных
f8fab519d78047712c06798c8b7fe38f,Моделирование временных рядов
5d1deb0ae3a69348a018881ac785fd90,Высокопроизводительные вычисления
6ed89e424179b0510e3f7c0cb7369ad6,Моделирование временных рядов
f44aea1095f9f5b8e2f5f0ed2b17891b,Анализ неструктурированных данных
6cd7de3774f07c65e44668cdf7e987b6,Моделирование временных рядов
01b072a0cdb45814fc4ab8ca3e621f0e,Анализ неструктурированных данных
162cbdeec1b766ab857df93cdf9d65f4,Язык SQL
e11399490117e1913ae79d09a5a2b981,Глубинное обучение в обработке звука
e11399490117e1913ae79d09a5a2b981,Анализ неструктурированных данных
cfe9fd28e4cbe0b46594b21f3067e30a,Язык SQL
bba51e2f648cb3323b96858a404dacea,Моделирование временных рядов
72e79e6a79cb4025077b371cc6e54247,Теория баз данных
1ed2386f4de225ae7aa6cfd5772d9c50,Моделирование временных рядов
f8c83b338162bb41af2851b5e62f84d0,Теория баз данных
e6f751a81ab2d5197e8237a96656144d,Высокопроизводительные вычисления
1386d00c9c8229c2be3c0956949ee122,Statistical Learning Theory
7378a3c0caf8ce5fdbb1e4370b346cb7,Глубинное обучение в обработке звука
a19f36ae8465cac527e8ce7b6ebf1213,Язык SQL
98c5a2548d93f26bd4195466e93178b3,Байесовские методы машинного обучения
98c5a2548d93f26bd4195466e93178b3,Глубинное обучение в обработке звука
a31027b4218c8cca257f9b9cd07791d2,Анализ неструктурированных данных
b6bf56b8b8ffd1666036b0a8ca01c452,Матричные вычисления
b4f1f195bd1bc63490a7bc42275a71cd,Высокопроизводительные вычисления
c5870b37ee3f672e4259dfb2fc02ed8f,Statistical Learning Theory
bb94ed5af639819dac15574197c80da3,Теория баз данных
d9f0e5ebc6718202b86eaee2de1c697b,Матричные вычисления
c749f69f66d40cdfb3821745951be896,Анализ неструктурированных данных
ab5248060fbaac411a79a62dfb0d263d,Язык SQL
de539be8b29b3afa002184e28d63c670,Анализ неструктурированных данных
b739739c7080a6e15f962c3863021855,Анализ неструктурированных данных
d555d2805e1d93d4f023e57dc4c8f403,Глубинное обучение в обработке звука
feb53dcdd28fff9dc4a981c3419fea6f,Язык SQL
c1e88502b6673d22c38ee1352e3a1dd9,Моделирование временных рядов
c1e88502b6673d22c38ee1352e3a1dd9,Анализ неструктурированных данных
af20596134e83f3ca61259b325aa9688,Statistical Learning Theory
f2e1cfc27a724879ac2a8c98004c14b0,Принятие решений в условиях риска и неопределённости
79d14db48e4737af731960ae212d5134,Принятие решений в условиях риска и неопределённости
d539461bf254cf8b3201cdf7990b119e,Анализ неструктурированных данных
7a21ef645ecb42198be493dd65320e78,Принятие решений в условиях риска и неопределённости
